"","sistema_u_otro","total","tasa_mortalidad"
"1","Ciertas afecciones originadas en el período perinatal",5,12.1758188238159
"2","Ciertas enfermedades infecciosas y parasitarias",5,12.1758188238159
"3","Enfermedades de la piel y del tejido subcutáneo",1,2.43516376476318
"4","Enfermedades del sistema circulatorio",46,112.017533179106
"5","Enfermedades del sistema digestivo",15,36.5274564714477
"6","Enfermedades del sistema genitourinario",5,12.1758188238159
"7","Enfermedades del sistema nervioso central",5,12.1758188238159
"8","Enfermedades del sistema osteomuscular y del tejido conjuntivo",3,7.30549129428954
"9","Enfermedades del sistema respiratorio",22,53.57360282479
"10","Enfermedades endocrinas, nutricionales y metabólicas",16,38.9626202362109
"11","Malformaciones congénitas, deformidades y anomalías cromosómicas",2,4.87032752952636
"12","Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",24,58.4439303543163
"13","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",19,46.2681115305004
"14","Tumores [Neoplasias]",59,143.674662121028
