"","sistema_u_otro","grupo","total","tasa_mortalidad"
"1","Ciertas afecciones originadas en el período perinatal","Infecciones específicas del período perinatal",1,2.43516376476318
"2","Ciertas afecciones originadas en el período perinatal","Trastornos del sistema digestivo del feto y del recién nacido",1,2.43516376476318
"3","Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]",1,2.43516376476318
"4","Ciertas enfermedades infecciosas y parasitarias","Enfermedades infecciosas intestinales",2,4.87032752952636
"5","Ciertas enfermedades infecciosas y parasitarias","infecciones del sistema nervioso central",1,2.43516376476318
"6","Ciertas enfermedades infecciosas y parasitarias","Otras enfermedades bacterianas",3,7.30549129428954
"7","Ciertas enfermedades infecciosas y parasitarias","Secuelas de enfermedades infecciosas y parasitarias",1,2.43516376476318
"8","Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Anemias aplásticas y otras anemias",2,4.87032752952636
"9","Enfermedades del sistema circulatorio","Enfermedad cardiopulmonar y enfermedades de la circulación pulmonar",1,2.43516376476318
"10","Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares",18,43.8329477657372
"11","Enfermedades del sistema circulatorio","Enfermedades de las arterias, de las arteriolas y de los vasos capilares",1,2.43516376476318
"12","Enfermedades del sistema circulatorio","Enfermedades hipertensivas",14,34.0922927066845
"13","Enfermedades del sistema circulatorio","Enfermedades isquémicas del corazón",11,26.786801412395
"14","Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón",5,12.1758188238159
"15","Enfermedades del sistema digestivo","Enfermedades del esófago, del estómago y del duodeno",1,2.43516376476318
"16","Enfermedades del sistema digestivo","Enfermedades del hígado",7,17.0461463533423
"17","Enfermedades del sistema digestivo","Enfermedades del peritoneo",1,2.43516376476318
"18","Enfermedades del sistema digestivo","Hernia",1,2.43516376476318
"19","Enfermedades del sistema digestivo","Otras enfermedades de los intestinos",4,9.74065505905272
"20","Enfermedades del sistema digestivo","Otras enfermedades del sistema digestivo",2,4.87032752952636
"21","Enfermedades del sistema digestivo","Trastornos de la vesícula biliar, de las vías biliares y del páncreas",2,4.87032752952636
"22","Enfermedades del sistema genitourinario","Enfermedad renal tubulointersticial",2,4.87032752952636
"23","Enfermedades del sistema genitourinario","Insuficiencia renal",6,14.6109825885791
"24","Enfermedades del sistema genitourinario","Otras enfermedades del sistema urinario",3,7.30549129428954
