"","sistema_u_otro","total","tasa_mortalidad"
"1","Ciertas afecciones originadas en el período perinatal",2,4.87032752952636
"2","Ciertas enfermedades infecciosas y parasitarias",8,19.4813101181054
"3","Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad",2,4.87032752952636
"4","Enfermedades del sistema circulatorio",50,121.758188238159
"5","Enfermedades del sistema digestivo",18,43.8329477657372
"6","Enfermedades del sistema genitourinario",11,26.786801412395
"7","Enfermedades del sistema nervioso central",8,19.4813101181054
"8","Enfermedades del sistema osteomuscular y del tejido conjuntivo",3,7.30549129428954
"9","Enfermedades del sistema respiratorio",34,82.7955680019481
"10","Enfermedades endocrinas, nutricionales y metabólicas",11,26.786801412395
"11","Malformaciones congénitas, deformidades y anomalías cromosómicas",1,2.43516376476318
"12","Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",10,24.3516376476318
"13","Trastornos mentales y del comportamiento",1,2.43516376476318
"14","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",21,51.1384390600268
"15","Tumores [Neoplasias]",56,136.369170826738
