"","sistema_u_otro","total","tasa_mortalidad"
"1","Ciertas afecciones originadas en el período perinatal",4,9.74065505905272
"2","Ciertas enfermedades infecciosas y parasitarias",5,12.1758188238159
"3","Códigos para propósitos especiales",21,51.1384390600268
"4","Enfermedades de la piel y del tejido subcutáneo",1,2.43516376476318
"5","Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad",2,4.87032752952636
"6","Enfermedades del sistema circulatorio",73,177.766954827712
"7","Enfermedades del sistema digestivo",16,38.9626202362109
"8","Enfermedades del sistema genitourinario",6,14.6109825885791
"9","Enfermedades del sistema nervioso central",9,21.9164738828686
"10","Enfermedades del sistema osteomuscular y del tejido conjuntivo",2,4.87032752952636
"11","Enfermedades del sistema respiratorio",25,60.8790941190795
"12","Enfermedades endocrinas, nutricionales y metabólicas",9,21.9164738828686
"13","Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",13,31.6571289419213
"14","Trastornos mentales y del comportamiento",10,24.3516376476318
"15","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",30,73.0549129428954
"16","Tumores [Neoplasias]",78,189.942773651528
