"","sistema_u_otro","grupo","total","tasa_mortalidad"
"1","Ciertas afecciones originadas en el período perinatal","Trastornos relacionados con la duración de la gestación y el crecimiento fetal",1,2.43516376476318
"2","Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal",1,2.43516376476318
"3","Ciertas enfermedades infecciosas y parasitarias","Micosis",1,2.43516376476318
"4","Ciertas enfermedades infecciosas y parasitarias","Otras enfermedades bacterianas",1,2.43516376476318
"5","Ciertas enfermedades infecciosas y parasitarias","Secuelas de enfermedades infecciosas y parasitarias",1,2.43516376476318
"6","Ciertas enfermedades infecciosas y parasitarias","Tuberculosis",1,2.43516376476318
"7","Enfermedades de la piel y del tejido subcutáneo","Otros trastornos de la piel y del tejido subcutáneo",1,2.43516376476318
"8","Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares",18,43.8329477657372
"9","Enfermedades del sistema circulatorio","Enfermedades de las arterias, de las arteriolas y de los vasos capilares",1,2.43516376476318
"10","Enfermedades del sistema circulatorio","Enfermedades hipertensivas",9,21.9164738828686
"11","Enfermedades del sistema circulatorio","Enfermedades isquémicas del corazón",16,38.9626202362109
"12","Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón",7,17.0461463533423
"13","Enfermedades del sistema digestivo","Enfermedades del hígado",11,26.786801412395
"14","Enfermedades del sistema digestivo","Enfermedades del peritoneo",1,2.43516376476318
"15","Enfermedades del sistema digestivo","Otras enfermedades de los intestinos",3,7.30549129428954
"16","Enfermedades del sistema digestivo","Trastornos de la vesícula biliar, de las vías biliares y del páncreas",1,2.43516376476318
"17","Enfermedades del sistema genitourinario","Enfermedad renal tubulointersticial",2,4.87032752952636
"18","Enfermedades del sistema genitourinario","Insuficiencia renal",5,12.1758188238159
"19","Enfermedades del sistema genitourinario","Otras enfermedades del sistema urinario",5,12.1758188238159
"20","Enfermedades del sistema nervioso central","Atrofias sistémicas que afectan principalmente el sistema nervioso central",1,2.43516376476318
