"","sistema_u_otro","grupo","categoria","subcategoria","total","tasa_mortalidad"
"1","Ciertas afecciones originadas en el período perinatal","Trastornos relacionados con la duración de la gestación y el crecimiento fetal","Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte","INMATURIDAD EXTREMA",1,2.43516376476318
"2","Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Asfixia del nacimiento","ASFIXIA DEL NACIMIENTO NO ESPECIFICADA",1,2.43516376476318
"3","Ciertas enfermedades infecciosas y parasitarias","Micosis","Aspergilosis","OTRAS ASPERGILOSIS PULMÓNARES",1,2.43516376476318
"4","Ciertas enfermedades infecciosas y parasitarias","Otras enfermedades bacterianas","Otras septicemias","SEPTICEMIA NO ESPECIFICADA",1,2.43516376476318
"5","Ciertas enfermedades infecciosas y parasitarias","Secuelas de enfermedades infecciosas y parasitarias","Secuelas de tuberculosis","SECUELAS DE TUBERCULOSIS RESPIRATORIA Y DE TUBERCULOSIS NO ESPECIFICADA",1,2.43516376476318
"6","Ciertas enfermedades infecciosas y parasitarias","Tuberculosis","Tuberculosis respiratoria, no confirmada bacteriológica o histológicamente","TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA S/MENCIÓN DE CONFIRMAC. BACTERIOLOG. O HISTOLÓGICA",1,2.43516376476318
"7","Enfermedades de la piel y del tejido subcutáneo","Otros trastornos de la piel y del tejido subcutáneo","Úlcera de de cúbito","ÚLCERA DE DECÚBITO Y POR ÁREA DE PRESIÓN NO ESPECIFICADA",1,2.43516376476318
"8","Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico","ACCIDENTE VASCULAR ENCEFALICO AGUDO NO ESPECIFICADO COMO HEMORRAGICO O ISQUEMICO",7,17.0461463533423
"9","Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Hemorragia intraencefálica","HEMORRAGIA INTRAENCEFALICA NO ESPECIFICADA",2,4.87032752952636
"10","Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Hemorragia subaracnoidea","HEMORRAGIA SUBARACNOIDEA DE ARTERIA BASILAR",1,2.43516376476318
