"","sistema_u_otro","grupo","categoria","total","tasa_mortalidad"
"1","Ciertas enfermedades infecciosas y parasitarias","Micosis","Aspergilosis",1,2.43516376476318
"2","Ciertas enfermedades infecciosas y parasitarias","Otras enfermedades bacterianas","Infección bacteriana de sitio no especificado",1,2.43516376476318
"3","Ciertas enfermedades infecciosas y parasitarias","Otras enfermedades bacterianas","Otras septicemias",2,4.87032752952636
"4","Códigos para propósitos especiales","Asignación provisoria de nuevas afecciones de etiología incierta","Uso emergente de U07",50,121.758188238159
"5","Enfermedades de la piel y del tejido subcutáneo","Otros trastornos de la piel y del tejido subcutáneo","Úlcera de de cúbito",3,7.30549129428954
"6","Enfermedades del sistema circulatorio","Enfermedades cardíacas reumáticas crónicas","Enfermedades valvulares múltiples",1,2.43516376476318
"7","Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",7,17.0461463533423
"8","Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Hemorragia intraencefálica",3,7.30549129428954
"9","Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Hemorragia subaracnoidea",2,4.87032752952636
"10","Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Otras enfermedades cerebrovasculares",2,4.87032752952636
"11","Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Otras hemorragias intracraneales no traumáticas",1,2.43516376476318
"12","Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Secuelas de enfermedad cerebrovascular",9,21.9164738828686
"13","Enfermedades del sistema circulatorio","Enfermedades de las arterias, de las arteriolas y de los vasos capilares","Otras enfermedades vasculares periféricas",1,2.43516376476318
"14","Enfermedades del sistema circulatorio","Enfermedades de las venas y de los vasos y ganglios linfáticos, no clasificadas en otra parte","Flebitis y tromboflebitis",1,2.43516376476318
"15","Enfermedades del sistema circulatorio","Enfermedades de las venas y de los vasos y ganglios linfáticos, no clasificadas en otra parte","Venas varicosas de los miembros inferiores",1,2.43516376476318
"16","Enfermedades del sistema circulatorio","Enfermedades hipertensivas","Enfermedad cardíaca hipertensiva",6,14.6109825885791
"17","Enfermedades del sistema circulatorio","Enfermedades hipertensivas","Enfermedad cardiorrenal hipertensiva",5,12.1758188238159
"18","Enfermedades del sistema circulatorio","Enfermedades hipertensivas","Enfermedad renal hipertensiva",3,7.30549129428954
"19","Enfermedades del sistema circulatorio","Enfermedades hipertensivas","Hipertensión esencial (primaria)",4,9.74065505905272
"20","Enfermedades del sistema circulatorio","Enfermedades isquémicas del corazón","Enfermedad isquémica crónica del corazón",3,7.30549129428954
"21","Enfermedades del sistema circulatorio","Enfermedades isquémicas del corazón","Infarto agudo del miocardio",10,24.3516376476318
"22","Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Cardiomiopatía",1,2.43516376476318
"23","Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Complicaciones y descripciones mal definidas de enfermedad cardíaca",2,4.87032752952636
"24","Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Fibrilación y aleteo auricular",5,12.1758188238159
"25","Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Insuficiencia cardíaca",9,21.9164738828686
"26","Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Otros trastornos de la conducción",1,2.43516376476318
"27","Enfermedades del sistema digestivo","Enfermedades del esófago, del estómago y del duodeno","Otras enfermedades del esófago",1,2.43516376476318
"28","Enfermedades del sistema digestivo","Enfermedades del hígado","Enfermedad alcohólica del hígado",5,12.1758188238159
"29","Enfermedades del sistema digestivo","Enfermedades del hígado","Fibrosis y cirrosis del hígado",3,7.30549129428954
"30","Enfermedades del sistema digestivo","Enfermedades del hígado","Insuficiencia hepática, no clasificada en otra parte",1,2.43516376476318
"31","Enfermedades del sistema digestivo","Enfermedades del hígado","Otras enfermedades inflamatorias del hígado",1,2.43516376476318
"32","Enfermedades del sistema digestivo","Enfermedades del peritoneo","Otros trastornos del peritoneo",1,2.43516376476318
"33","Enfermedades del sistema digestivo","Enfermedades del peritoneo","Peritonitis",2,4.87032752952636
"34","Enfermedades del sistema digestivo","Hernia","Hernia femoral",1,2.43516376476318
"35","Enfermedades del sistema digestivo","Otras enfermedades de los intestinos","Ileo paralítico y obstrucción intestinal sin hernia",1,2.43516376476318
"36","Enfermedades del sistema digestivo","Otras enfermedades de los intestinos","Trastornos vasculares de los intestinos",1,2.43516376476318
"37","Enfermedades del sistema digestivo","Otras enfermedades del sistema digestivo","Otras enfermedades del sistema digestivo",1,2.43516376476318
"38","Enfermedades del sistema digestivo","Trastornos de la vesícula biliar, de las vías biliares y del páncreas","Otras enfermedades de las vías biliares",1,2.43516376476318
"39","Enfermedades del sistema digestivo","Trastornos de la vesícula biliar, de las vías biliares y del páncreas","Pancreatitis aguda",2,4.87032752952636
"40","Enfermedades del sistema genitourinario","Enfermedad renal tubulointersticial","Nefritis tubulointersticial aguda",1,2.43516376476318
"41","Enfermedades del sistema genitourinario","Insuficiencia renal","Enfermedad (Insuficiencia) renal crónica",3,7.30549129428954
"42","Enfermedades del sistema genitourinario","Insuficiencia renal","Insuficiencia renal aguda",4,9.74065505905272
"43","Enfermedades del sistema genitourinario","Insuficiencia renal","Insuficiencia renal no especificada",1,2.43516376476318
"44","Enfermedades del sistema genitourinario","Otras enfermedades del sistema urinario","Otros trastornos del sistema urinario",2,4.87032752952636
"45","Enfermedades del sistema nervioso central","Otras enfermedades degenerativas del sistema nervioso","Enfermedad de Alzheimer",8,19.4813101181054
"46","Enfermedades del sistema nervioso central","Parálisis cerebral y otros síndromes paralíticos","Parálisis cerebral",1,2.43516376476318
"47","Enfermedades del sistema nervioso central","Parálisis cerebral y otros síndromes paralíticos","Paraplejía y cuadriplejía",2,4.87032752952636
"48","Enfermedades del sistema nervioso central","Trastornos episódicos y paroxísticos","Epilepsia",2,4.87032752952636
"49","Enfermedades del sistema nervioso central","Trastornos extrapiramidales y del movimiento","Enfermedad de Parkinson",1,2.43516376476318
"50","Enfermedades del sistema osteomuscular y del tejido conjuntivo","Poliartropatías inflamatorias","Otras artritis reumatoides",1,2.43516376476318
"51","Enfermedades del sistema osteomuscular y del tejido conjuntivo","Trastornos sistémicos del tejido conjuntivo","Otro compromiso sistémico del tejido conjuntivo",1,2.43516376476318
"52","Enfermedades del sistema respiratorio","Enfermedades crónicas de las vías respiratorias inferiores","Asma",1,2.43516376476318
"53","Enfermedades del sistema respiratorio","Enfermedades crónicas de las vías respiratorias inferiores","Enfisema",1,2.43516376476318
"54","Enfermedades del sistema respiratorio","Enfermedades crónicas de las vías respiratorias inferiores","Otras enfermedades pulmonares obstructivas crónicas",5,12.1758188238159
"55","Enfermedades del sistema respiratorio","Enfermedades del pulmón debidas a agentes externos","Neumonitis debida a sólidos y líquidos",1,2.43516376476318
"56","Enfermedades del sistema respiratorio","Influenza [gripe] y neumonía","Neumonía bacteriana, no clasificada en otra parte",1,2.43516376476318
"57","Enfermedades del sistema respiratorio","Influenza [gripe] y neumonía","Neumonía, organismo no especificado",2,4.87032752952636
"58","Enfermedades del sistema respiratorio","Otras enfermedades del sistema respiratorio","Insuficiencia respiratoria, no clasificada en otra parte",1,2.43516376476318
"59","Enfermedades del sistema respiratorio","Otras enfermedades del sistema respiratorio","Otros trastornos respiratorios",2,4.87032752952636
"60","Enfermedades del sistema respiratorio","Otras enfermedades respiratorias que afectan principalmente al intersticio","Edema pulmonar",1,2.43516376476318
"61","Enfermedades del sistema respiratorio","Otras enfermedades respiratorias que afectan principalmente al intersticio","Otras enfermedades pulmonares intersticiales",5,12.1758188238159
"62","Enfermedades del sistema respiratorio","Otras infecciones agudas de las vías respiratorias inferiores","Infección aguda no especificada de las vías respiratorias inferiores",1,2.43516376476318
"63","Enfermedades endocrinas, nutricionales y metabólicas","Desnutrición","Desnutrición proteicocalórica severa, no especificada",3,7.30549129428954
"64","Enfermedades endocrinas, nutricionales y metabólicas","Diabetes mellitus","Diabetes mellitus, no especificada",4,9.74065505905272
"65","Enfermedades endocrinas, nutricionales y metabólicas","Obesidad y otros tipos de hiperalimentación","Obesidad",2,4.87032752952636
"66","Malformaciones congénitas, deformidades y anomalías cromosómicas","Malformaciones congénitas del sistema circulatorio","Malformaciones congénitas de las grandes arterias",1,2.43516376476318
"67","Malformaciones congénitas, deformidades y anomalías cromosómicas","Malformaciones congénitas del sistema circulatorio","Otras malformaciones congénitas del sistema vascular periférico",1,2.43516376476318
"68","Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte","Causas de mortalidad mal definidas y desconocidas","Otras causas mal definidas y las no especificadas de mortalidad",12,29.2219651771582
"69","Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte","Síntomas y signos generales","Malestar y fatiga",1,2.43516376476318
"70","Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte","Síntomas y signos generales","Otros síntomas y signos generales",4,9.74065505905272
"71","Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte","Síntomas y signos que involucran los sistemas circulatorio y respiratorio","Otros síntomas y signos que involucran los sistemas circulatorio y respiratorio",1,2.43516376476318
"72","Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte","Síntomas y signos que involucran los sistemas nervioso y osteomuscular","Anormalidades de la marcha y de la movilidad",1,2.43516376476318
"73","Trastornos mentales y del comportamiento","Trastornos mentales orgánicos, incluidos los trastornos sintomáticos","Demencia , no especificada",5,12.1758188238159
"74","Trastornos mentales y del comportamiento","Trastornos mentales orgánicos, incluidos los trastornos sintomáticos","Otros trastornos mentales debidos a lesión y disfunción cerebral, y a enfermedad física",1,2.43516376476318
"75","Trastornos mentales y del comportamiento","Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas","Trastornos mentales y del comportamiento debidos al uso de alcohol",2,4.87032752952636
"76","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas","Efectos tóxicos de sustancias de procedencia principalmente no medicinal","Efecto tóxico de otros gases, humos y vapores",2,4.87032752952636
"77","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas","Envenenamiento por drogas, medicamentos y sustancias biológicas","Envenenamiento por diuréticos y otras drogas, medicamentos y sustancias biológicas no especificadas",1,2.43516376476318
"78","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas","Otros efectos y los no especificados de causas externas","Asfixia",4,9.74065505905272
"79","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas","Traumatismos de la cabeza","Traumatismo intracraneal",6,14.6109825885791
"80","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas","Traumatismos de la cabeza","Traumatismo superficial de la cabeza",1,2.43516376476318
"81","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas","Traumatismos de la cadera y del muslo","Fractura del fémur",2,4.87032752952636
"82","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas","Traumatismos del abdomen, de la región lumbosacra, de la columna lumbar y de la pelvis","Traumatismo de órganos intraabdominales",1,2.43516376476318
"83","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas","Traumatismos que afectan múltiples regiones del cuerpo","Otros traumatismos que afectan múltiples regiones del cuerpo, no clasificados en otra parte",3,7.30549129428954
"84","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas","Traumatismos que afectan múltiples regiones del cuerpo","Traumatismos múltiples, no especificados",5,12.1758188238159
"85","Tumores [Neoplasias]","Tumor maligno de la mama","Tumor maligno de la mama",3,7.30549129428954
"86","Tumores [Neoplasias]","Tumores [neoplasias] de comportamiento incierto o desconocido","Síndromes mielodisplásicos",1,2.43516376476318
"87","Tumores [Neoplasias]","Tumores [neoplasias] de comportamiento incierto o desconocido","Tumor de comportamiento incierto o desconocido de la cavidad bucal y de los órganos digestivos",3,7.30549129428954
"88","Tumores [Neoplasias]","Tumores [neoplasias] de comportamiento incierto o desconocido","Tumor de comportamiento incierto o desconocido de otros sitios y de los no especificados",1,2.43516376476318
"89","Tumores [Neoplasias]","Tumores [neoplasias] de comportamiento incierto o desconocido","Tumor de comportamiento incierto o desconocido del encéfalo y del sistema nervioso central",1,2.43516376476318
"90","Tumores [Neoplasias]","Tumores [neoplasias] malignos de sitios mal definidos, secundarios y de sitios no especificados","Tumor maligno de otros sitios y de los sitios mal definidos",1,2.43516376476318
"91","Tumores [Neoplasias]","Tumores [neoplasias] malignos de sitios mal definidos, secundarios y de sitios no especificados","Tumor maligno secundario de otros sitios y los no especificados",2,4.87032752952636
"92","Tumores [Neoplasias]","Tumores [neoplasias] malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines","Leucemia de células de tipo no especificado",1,2.43516376476318
"93","Tumores [Neoplasias]","Tumores [neoplasias] malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines","Leucemia mieloide",2,4.87032752952636
"94","Tumores [Neoplasias]","Tumores [neoplasias] malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines","Linfoma no Hodgkin de otro tipo y el no especificado",2,4.87032752952636
"95","Tumores [Neoplasias]","Tumores [neoplasias] malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines","Mieloma múltiple y tumores de células plasmáticas",2,4.87032752952636
"96","Tumores [Neoplasias]","Tumores malignos de las vías urinarias","Tumor maligno de la vejiga urinaria",2,4.87032752952636
"97","Tumores [Neoplasias]","Tumores malignos de las vías urinarias","Tumor maligno del riñón, excepto de la pelvis renal",3,7.30549129428954
"98","Tumores [Neoplasias]","Tumores malignos de los órganos digestivos","Tumor maligno de la vesícula biliar",4,9.74065505905272
"99","Tumores [Neoplasias]","Tumores malignos de los órganos digestivos","Tumor maligno de otras partes y de las no especificadas de las vías biliares",1,2.43516376476318
"100","Tumores [Neoplasias]","Tumores malignos de los órganos digestivos","Tumor maligno del colon",4,9.74065505905272
"101","Tumores [Neoplasias]","Tumores malignos de los órganos digestivos","Tumor maligno del esófago",2,4.87032752952636
"102","Tumores [Neoplasias]","Tumores malignos de los órganos digestivos","Tumor maligno del estómago",9,21.9164738828686
"103","Tumores [Neoplasias]","Tumores malignos de los órganos digestivos","Tumor maligno del hígado y de las vías biliares intrahepáticas",4,9.74065505905272
"104","Tumores [Neoplasias]","Tumores malignos de los órganos digestivos","Tumor maligno del páncreas",3,7.30549129428954
"105","Tumores [Neoplasias]","Tumores malignos de los órganos digestivos","Tumor maligno del recto",1,2.43516376476318
"106","Tumores [Neoplasias]","Tumores malignos de los órganos genitales femeninos","Tumor maligno del cuello del útero",4,9.74065505905272
