"","sistema_u_otro","total","tasa_mortalidad"
"1","Ciertas enfermedades infecciosas y parasitarias",4,9.74065505905272
"2","Códigos para propósitos especiales",50,121.758188238159
"3","Enfermedades de la piel y del tejido subcutáneo",3,7.30549129428954
"4","Enfermedades del sistema circulatorio",77,187.507609886765
"5","Enfermedades del sistema digestivo",21,51.1384390600268
"6","Enfermedades del sistema genitourinario",11,26.786801412395
"7","Enfermedades del sistema nervioso central",14,34.0922927066845
"8","Enfermedades del sistema osteomuscular y del tejido conjuntivo",2,4.87032752952636
"9","Enfermedades del sistema respiratorio",21,51.1384390600268
"10","Enfermedades endocrinas, nutricionales y metabólicas",9,21.9164738828686
"11","Malformaciones congénitas, deformidades y anomalías cromosómicas",2,4.87032752952636
"12","Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",19,46.2681115305004
"13","Trastornos mentales y del comportamiento",8,19.4813101181054
"14","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",25,60.8790941190795
"15","Tumores [Neoplasias]",79,192.377937416291
