"","sistema_u_otro","grupo","categoria","subcategoria","total","tasa_mortalidad"
"1","Ciertas afecciones originadas en el período perinatal","Trastornos del sistema digestivo del feto y del recién nacido","Enterocolitis necrotizante del feto y del recién nacido","ENTEROCOLITIS NECROTIZANTE DEL FETO Y DEL RECIEN NACIDO",2,4.87032752952636
"2","Ciertas afecciones originadas en el período perinatal","Trastornos relacionados con la duración de la gestación y el crecimiento fetal","Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte","INMATURIDAD EXTREMA",1,2.43516376476318
"3","Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Hemorragia pulmonar originada en el período perinatal","HEMORRAGIA PULMÓNAR NO ESPECIFICADA ORIGINADA EN EL PERIODO PERINATAL",1,2.43516376476318
"4","Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias","ENFERMEDAD POR VIH RESULTANTE EN OTRAS ENFERMEDADES INFECCIOSAS O PARASITARIAS",1,2.43516376476318
"5","Ciertas enfermedades infecciosas y parasitarias","Otras enfermedades bacterianas","Otras septicemias","SEPTICEMIA NO ESPECIFICADA",4,9.74065505905272
"6","Ciertas enfermedades infecciosas y parasitarias","Secuelas de enfermedades infecciosas y parasitarias","Secuelas de tuberculosis","SECUELAS DE TUBERCULOSIS RESPIRATORIA Y DE TUBERCULOSIS NO ESPECIFICADA",2,4.87032752952636
"7","Ciertas enfermedades infecciosas y parasitarias","Tuberculosis","Tuberculosis respiratoria, no confirmada bacteriológica o histológicamente","TUBERCULOSIS DE PULMÓN SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",1,2.43516376476318
"8","Enfermedades de la piel y del tejido subcutáneo","Otros trastornos de la piel y del tejido subcutáneo","Úlcera de de cúbito","ÚLCERA DE DECÚBITO Y POR ÁREA DE PRESIÓN NO ESPECIFICADA",1,2.43516376476318
"9","Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Anemias aplásticas y otras anemias","Otras anemias","ANEMIA DE TIPO NO ESPECIFICADO",1,2.43516376476318
"10","Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad","Anemias nutricionales","Anemias por deficiencia de hierro","ANEMIA POR DEFICIENCIA DE HIERRO SIN OTRA ESPECIFICACIÓN",1,2.43516376476318
"11","Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico","ACCIDENTE VASCULAR ENCEFALICO AGUDO NO ESPECIFICADO COMO HEMORRAGICO O ISQUEMICO",4,9.74065505905272
"12","Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Hemorragia intraencefálica","HEMORRAGIA INTRAENCEFALICA NO ESPECIFICADA",3,7.30549129428954
"13","Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Hemorragia subaracnoidea","OTRAS HEMORRAGIAS SUBARACNOIDEAS",1,2.43516376476318
"14","Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Otras enfermedades cerebrovasculares","OTRAS ENFERMEDADES CEREBROVASCULARES ESPECIFICADAS",4,9.74065505905272
"15","Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Otras hemorragias intracraneales no traumáticas","HEMORRAGIA SUBDURAL (AGUDA) (NO TRAUMATICA)",2,4.87032752952636
"16","Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Secuelas de enfermedad cerebrovascular","SECUELAS DE ENFERMEDAD CEREBROVASCULAR NO ESPECIFICADA COMO HEMORRAGICA U OCLUSIVA",6,14.6109825885791
"17","Enfermedades del sistema circulatorio","Enfermedades de las arterias, de las arteriolas y de los vasos capilares","Aneurisma y disección aórticos","RUPTURA DE ANEURISMA DE LA AORTA ABDOMINAL",1,2.43516376476318
"18","Enfermedades del sistema circulatorio","Enfermedades de las arterias, de las arteriolas y de los vasos capilares","Otros trastornos arteriales o arteriolares","ARTERITIS NO ESPECIFICADA",1,2.43516376476318
"19","Enfermedades del sistema circulatorio","Enfermedades de las venas y de los vasos y ganglios linfáticos, no clasificadas en otra parte","Flebitis y tromboflebitis","FLEBITIS Y TROMBOFLEBITIS DE OTROS VASOS PROFUNDOS DE LOS MIEMBROS INFERIORES",1,2.43516376476318
"20","Enfermedades del sistema circulatorio","Enfermedades de las venas y de los vasos y ganglios linfáticos, no clasificadas en otra parte","Várices esofágicas","VARICES ESOFAGICAS CON HEMORRAGIA",1,2.43516376476318
"21","Enfermedades del sistema circulatorio","Enfermedades hipertensivas","Enfermedad cardíaca hipertensiva","ENFERMEDAD CARDIACA HIPERTENSIVA CON INSUFICIENCIA CARDIACA (CONGESTIVA)",2,4.87032752952636
"22","Enfermedades del sistema circulatorio","Enfermedades hipertensivas","Enfermedad cardíaca hipertensiva","ENFERMEDAD CARDIACA HIPERTENSIVA SIN INSUFICIENCIA CARDIACA (CONGESTIVA)",1,2.43516376476318
"23","Enfermedades del sistema circulatorio","Enfermedades hipertensivas","Enfermedad renal hipertensiva","ENFERMEDAD RENAL HIPERTENSIVA CON INSUFICIENCIA RENAL",3,7.30549129428954
"24","Enfermedades del sistema circulatorio","Enfermedades hipertensivas","Hipertensión esencial (primaria)","HIPERTENSION ESENCIAL (PRIMARIA)",5,12.1758188238159
"25","Enfermedades del sistema circulatorio","Enfermedades isquémicas del corazón","Enfermedad isquémica crónica del corazón","ENFERMEDAD ATEROSCLEROTICA DEL CORAZÓN",2,4.87032752952636
"26","Enfermedades del sistema circulatorio","Enfermedades isquémicas del corazón","Enfermedad isquémica crónica del corazón","ENFERMEDAD ISQUEMICA CRONICA DEL CORAZÓN NO ESPECIFICADA",1,2.43516376476318
"27","Enfermedades del sistema circulatorio","Enfermedades isquémicas del corazón","Infarto agudo del miocardio","INFARTO AGUDO DEL MIOCARDIO SIN OTRA ESPECIFICACION",7,17.0461463533423
"28","Enfermedades del sistema circulatorio","Enfermedades isquémicas del corazón","Otras enfermedades isquémicas agudas del corazón","ENFERMEDAD ISQUEMICA AGUDA DEL CORAZÓN NO ESPECIFICADA",1,2.43516376476318
"29","Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Endocarditis, válvula no especificada","ENDOCARDITIS VÁLVULA NO ESPECIFICADA",1,2.43516376476318
"30","Enfermedades del sistema circulatorio","Otras formas de enfermedad del corazón","Fibrilación y aleteo auricular","FIBRILACION Y ALETEO AURICULAR no especificado",1,2.43516376476318
